iter	Passed	Remaining
0	142	142554
1	143	71606
2	144	48142
3	149	37232
4	150	29915
5	150	24989
6	151	21487
7	152	18857
8	155	17097
9	156	15516
10	157	14153
11	157	13007
12	158	12039
13	161	11355
14	162	10644
15	162	10019
16	163	9468
17	164	8979
18	165	8544
19	169	8281
20	169	7922
21	171	7618
22	172	7343
23	173	7071
24	174	6815
25	175	6577
26	176	6356
27	177	6166
28	178	5982
29	179	5804
30	180	5637
31	182	5510
32	183	5363
33	184	5227
34	186	5128
35	186	5002
36	187	4886
37	189	4805
38	191	4713
39	192	4621
40	193	4524
41	194	4436
42	219	4881
43	221	4803
44	228	4853
45	232	4820
46	233	4732
47	235	4664
48	236	4588
49	237	4509
50	238	4431
51	239	4358
52	242	4337
53	244	4281
54	245	4219
55	246	4154
56	247	4091
57	248	4030
58	249	3972
59	249	3915
60	250	3860
61	251	3806
62	254	3784
63	256	3744
64	259	3735
65	260	3690
66	261	3643
67	262	3595
68	263	3551
69	264	3508
70	264	3464
71	265	3428
72	266	3384
73	267	3344
74	294	3636
75	296	3608
76	297	3569
77	298	3528
78	299	3490
79	299	3449
80	300	3408
81	300	3369
82	301	3328
83	301	3290
84	304	3274
85	315	3348
86	315	3312
87	316	3276
88	316	3240
89	317	3206
90	319	3192
91	320	3166
92	321	3138
93	322	3108
94	323	3078
95	323	3048
96	324	3020
97	324	2991
98	325	2962
99	326	2936
100	326	2907
101	327	2880
102	327	2853
103	328	2828
104	328	2803
105	329	2777
106	329	2752
107	330	2728
108	330	2704
109	331	2681
110	332	2664
111	334	2651
112	335	2636
113	336	2615
114	337	2595
115	337	2575
116	338	2553
117	339	2534
118	339	2514
119	340	2496
120	341	2477
121	341	2458
122	342	2439
123	342	2422
124	343	2404
125	344	2388
126	344	2369
127	345	2353
128	346	2338
129	351	2355
130	352	2341
131	353	2325
132	354	2310
133	355	2294
134	356	2284
135	357	2268
136	357	2252
137	358	2236
138	358	2221
139	359	2206
140	359	2192
141	360	2176
142	360	2161
143	361	2146
144	361	2132
145	362	2117
146	363	2108
147	365	2104
148	366	2092
149	367	2080
150	367	2067
151	368	2054
152	368	2042
153	370	2034
154	371	2023
155	371	2011
156	372	1999
157	372	1987
158	373	1975
159	373	1963
160	374	1950
161	374	1939
162	375	1928
163	378	1928
164	380	1926
165	381	1917
166	382	1907
167	382	1896
168	384	1891
169	385	1881
170	385	1870
171	386	1860
172	386	1849
173	387	1838
174	387	1828
175	388	1818
176	388	1807
177	389	1797
178	389	1788
179	390	1778
180	391	1771
181	392	1766
182	395	1766
183	396	1758
184	397	1749
185	397	1741
186	398	1732
187	399	1724
188	399	1714
189	400	1705
190	400	1696
191	401	1687
192	401	1679
193	402	1671
194	402	1663
195	403	1656
196	404	1648
197	405	1640
198	405	1632
199	409	1637
200	411	1635
201	412	1629
202	413	1623
203	414	1617
204	415	1609
205	415	1602
206	416	1595
207	417	1588
208	417	1581
209	418	1573
210	418	1566
211	419	1559
212	420	1552
213	426	1564
214	426	1557
215	428	1554
216	429	1549
217	430	1542
218	430	1535
219	431	1528
220	431	1521
221	432	1514
222	433	1508
223	433	1502
224	434	1496
225	440	1506
226	440	1501
227	441	1495
228	442	1490
229	443	1484
230	444	1478
231	444	1472
232	445	1466
233	446	1460
234	446	1454
235	447	1448
236	448	1442
237	448	1436
238	449	1430
239	455	1443
240	456	1438
241	458	1436
242	460	1434
243	461	1428
244	461	1423
245	462	1417
246	463	1411
247	463	1406
248	465	1402
249	472	1418
250	473	1413
251	477	1415
252	478	1411
253	479	1408
254	487	1423
255	488	1418
256	488	1413
257	490	1410
258	491	1405
259	491	1399
260	492	1394
261	493	1390
262	496	1389
263	500	1395
264	501	1389
265	505	1394
266	506	1389
267	506	1383
268	507	1379
269	510	1378
270	510	1373
271	511	1368
272	511	1362
273	514	1363
274	516	1361
275	517	1356
276	517	1351
277	518	1346
278	518	1341
279	519	1335
280	520	1330
281	520	1326
282	521	1321
283	522	1316
284	522	1311
285	523	1305
286	523	1301
287	524	1296
288	524	1291
289	525	1285
290	525	1280
291	526	1276
292	527	1272
293	530	1273
294	531	1269
295	531	1265
296	532	1260
297	532	1255
298	533	1251
299	534	1247
300	535	1242
301	535	1238
302	536	1234
303	537	1229
304	537	1225
305	538	1220
306	538	1216
307	539	1213
308	540	1208
309	543	1209
310	545	1207
311	545	1203
312	546	1198
313	546	1194
314	547	1190
315	547	1186
316	548	1181
317	549	1177
318	549	1173
319	550	1168
320	550	1164
321	551	1160
322	551	1156
323	552	1152
324	552	1148
325	553	1144
326	553	1140
327	554	1135
328	555	1131
329	555	1128
330	558	1128
331	559	1124
332	559	1121
333	560	1116
334	560	1112
335	561	1109
336	561	1105
337	562	1101
338	562	1097
339	563	1093
340	563	1089
341	564	1085
342	564	1082
343	565	1078
344	565	1074
345	566	1070
346	566	1066
